29-09-2020:10:10:56 INFO     [gen_gradcam.py:79] Prediction: cat, Actual: cat
29-09-2020:10:11:01 INFO     [gen_gradcam.py:79] Prediction: cat, Actual: cat
29-09-2020:10:11:05 INFO     [gen_gradcam.py:79] Prediction: cat, Actual: cat
29-09-2020:10:11:09 INFO     [gen_gradcam.py:79] Prediction: cat, Actual: cat
29-09-2020:10:11:13 INFO     [gen_gradcam.py:79] Prediction: cat, Actual: cat
29-09-2020:11:14:36 INFO     [gen_gradcam.py:79] Prediction: ship, Actual: plane
29-09-2020:11:14:40 INFO     [gen_gradcam.py:79] Prediction: ship, Actual: plane
29-09-2020:11:14:46 INFO     [gen_gradcam.py:79] Prediction: ship, Actual: plane
29-09-2020:11:14:52 INFO     [gen_gradcam.py:79] Prediction: ship, Actual: plane
29-09-2020:11:14:57 INFO     [gen_gradcam.py:79] Prediction: ship, Actual: plane
29-09-2020:12:13:20 INFO     [gen_gradcam.py:82] Prediction: horse, Actual: horse
29-09-2020:12:13:20 INFO     [gen_gradcam.py:82] Prediction: horse, Actual: horse
29-09-2020:12:13:21 INFO     [gen_gradcam.py:82] Prediction: horse, Actual: horse
29-09-2020:12:13:21 INFO     [gen_gradcam.py:82] Prediction: horse, Actual: horse
29-09-2020:12:13:21 INFO     [gen_gradcam.py:82] Prediction: horse, Actual: horse
29-09-2020:12:13:30 INFO     [gen_gradcam.py:82] Prediction: car, Actual: plane
29-09-2020:12:13:30 INFO     [gen_gradcam.py:82] Prediction: car, Actual: plane
29-09-2020:12:13:30 INFO     [gen_gradcam.py:82] Prediction: car, Actual: plane
29-09-2020:12:13:31 INFO     [gen_gradcam.py:82] Prediction: car, Actual: plane
29-09-2020:12:13:31 INFO     [gen_gradcam.py:82] Prediction: car, Actual: plane
29-09-2020:12:22:19 INFO     [gen_gradcam.py:84] Prediction: horse, Actual: horse
29-09-2020:12:22:19 INFO     [gen_gradcam.py:84] Prediction: horse, Actual: horse
29-09-2020:12:22:20 INFO     [gen_gradcam.py:84] Prediction: horse, Actual: horse
29-09-2020:12:22:20 INFO     [gen_gradcam.py:84] Prediction: horse, Actual: horse
29-09-2020:12:22:20 INFO     [gen_gradcam.py:84] Prediction: horse, Actual: horse
29-09-2020:12:22:31 INFO     [gen_gradcam.py:84] Prediction: truck, Actual: dog
29-09-2020:12:22:31 INFO     [gen_gradcam.py:84] Prediction: truck, Actual: dog
29-09-2020:12:22:31 INFO     [gen_gradcam.py:84] Prediction: truck, Actual: dog
29-09-2020:12:22:32 INFO     [gen_gradcam.py:84] Prediction: truck, Actual: dog
29-09-2020:12:22:32 INFO     [gen_gradcam.py:84] Prediction: truck, Actual: dog
29-09-2020:13:06:17 INFO     [gen_gradcam.py:84] Prediction: ship, Actual: ship
29-09-2020:13:09:20 INFO     [gen_gradcam.py:84] Prediction: ship, Actual: ship
